area_sqft,bedrooms,bathrooms,locality,house_age_years,year_built,floor_number,building_type,parking_spaces,has_garden,price_inr
1906.0,1.0,1.0,Khalihamari,19.96409590173615,2004.983730252299,0.0,Duplex,,1.0,4564520
1371.0,3.0,2.0,Boiragimoth,0.0,2025.0,1.0,Apartment,,0.0,5131669
1986.0,4.0,1.0,Chowkidinghee,15.0,2010.0,1.0,Duplex,1.0,0.0,7501642
2973.0,1.0,2.0,Chowkidinghee,32.0,1993.0,1.0,Apartment,,1.0,9207702
1927.626994445101,1.0,3.0,Milan Nagar,25.0,2000.0,2.0,Independent,0.0,0.0,8334066
2239.0,1.0,2.0,Mancotta Road,27.0,1998.0,0.0,Independent,2.0,0.0,6822319
2326.0,3.0,1.0,Chowkidinghee,31.0,1994.0,0.0,Independent,1.0,1.0,7794127
2303.0,2.497630893153281,1.0,Milan Nagar,19.96409590173615,1988.0,1.0,Independent,1.0,1.0,6586689
1148.0,2.0,1.0,Boiragimoth,14.0,2011.0,0.0,Independent,1.0,0.0,3634910
693.0,2.0,2.0,Naliapool,38.0,1987.0,3.0,Independent,,1.0,1740462
1393.0,2.497630893153281,2.0,Milan Nagar,26.0,1999.0,1.4930276530371072,Independent,1.0,0.0,4110786
1927.626994445101,1.0,1.0,Milan Nagar,7.0,2004.983730252299,2.0,Duplex,2.0,0.0,3291887
2151.0,2.0,1.9917482022869268,Chowkidinghee,33.0,2004.983730252299,0.0,Apartment,1.0,0.0,6737855
1979.0,1.0,2.0,Mancotta Road,19.96409590173615,2022.0,0.0,Independent,1.0,0.0,6824712
1732.0,3.0,3.0,Naliapool,27.0,1998.0,1.0,Independent,0.0,0.0,5102063
1580.0,2.0,2.0,Khalihamari,9.0,2016.0,1.0,Duplex,2.0,1.0,4892801
1831.0,4.0,1.9917482022869268,Milan Nagar,17.0,2008.0,1.0,Independent,0.0,0.0,6969119
1541.0,2.0,3.0,Boiragimoth,5.0,2020.0,2.0,Duplex,0.0,0.0,5473702
2924.0,2.0,2.0,Chowkidinghee,5.0,2020.0,2.0,Duplex,,0.0,11113617
3126.0,3.0,2.0,Chowkidinghee,10.0,2015.0,3.0,Duplex,0.0,1.0,12014822
2794.0,2.0,3.0,Mancotta Road,36.0,1989.0,2.0,Apartment,,0.305407644065791,8770645
1795.0,2.0,1.0,Milan Nagar,36.0,1989.0,0.0,Independent,1.0,0.0,4824342
1660.0,2.0,1.0,Boiragimoth,13.0,2012.0,1.0,Apartment,0.0,1.0,5359242
959.0,3.0,1.9917482022869268,Boiragimoth,33.0,1992.0,2.0,Independent,1.0,0.305407644065791,2919370
2270.0,2.497630893153281,3.0,Naliapool,19.0,2006.0,1.4930276530371072,Apartment,1.0,0.0,6563632
1329.0,2.0,2.0,Milan Nagar,35.0,1990.0,0.0,Independent,0.0,0.0,3780160
2599.0,1.0,1.0,Mancotta Road,3.0,2022.0,0.0,Duplex,,0.0,8796401
2456.0,4.0,2.0,Mancotta Road,2.0,2023.0,3.0,Apartment,1.0,0.0,9863687
1224.0,4.0,2.0,Mancotta Road,38.0,1987.0,0.0,Apartment,0.0,0.0,4016695
3074.0,2.0,2.0,Naliapool,15.0,2010.0,1.0,Duplex,2.0,1.0,8793427
2158.0,4.0,2.0,Chowkidinghee,29.0,1996.0,1.4930276530371072,Duplex,0.0,0.0,7937876
962.0,1.0,3.0,Milan Nagar,12.0,2013.0,1.0,Independent,2.0,0.0,3055984
2008.0,3.0,1.0,Khalihamari,15.0,2010.0,1.0,Independent,1.0,0.0,6246421
1178.0,4.0,2.0,Khalihamari,5.0,2020.0,0.0,Independent,2.0,0.0,4166554
794.0,1.0,1.0,Boiragimoth,35.0,1990.0,1.0,Duplex,0.0,1.0,2126620
2172.0,3.0,3.0,Khalihamari,34.0,1991.0,0.0,Independent,1.0,0.0,6376982
1453.0,4.0,1.0,Chowkidinghee,40.0,1985.0,2.0,Apartment,0.0,0.0,4765086
1337.0,3.0,1.0,Milan Nagar,38.0,1987.0,0.0,Independent,0.0,0.0,4161073
1034.0,3.0,1.0,Naliapool,39.0,1986.0,0.0,Duplex,0.0,0.0,2626207
1287.0,3.0,3.0,Chowkidinghee,28.0,1997.0,3.0,Independent,2.0,0.0,4584946
3142.0,3.0,1.0,Khalihamari,19.96409590173615,2017.0,0.0,Apartment,2.0,0.0,9931047
1905.0,1.0,2.0,Milan Nagar,27.0,1998.0,1.0,Independent,2.0,0.0,5372622
3043.0,1.0,3.0,Mancotta Road,20.0,2005.0,1.0,Apartment,2.0,0.0,9915051
2506.0,3.0,3.0,Boiragimoth,28.0,1997.0,2.0,Apartment,2.0,1.0,8344230
740.0,4.0,1.0,Khalihamari,28.0,1997.0,3.0,Apartment,0.0,1.0,2133524
1744.0,1.0,2.0,Naliapool,19.96409590173615,2023.0,1.4930276530371072,Independent,2.0,0.0,5030829
1021.0,2.0,2.0,Mancotta Road,8.0,2017.0,2.0,Duplex,,0.0,3660675
1927.626994445101,1.0,1.0,Mancotta Road,24.0,2001.0,3.0,Duplex,2.0,0.0,6008786
1927.0,3.0,3.0,Naliapool,39.0,1986.0,2.0,Independent,1.0,0.0,5179605
888.0,2.0,1.0,Naliapool,17.0,2008.0,3.0,Independent,0.0,0.0,2528734
2600.0,4.0,2.0,Milan Nagar,20.0,2005.0,1.4930276530371072,Independent,2.0,0.0,8353398
1927.626994445101,4.0,1.0,Naliapool,8.0,2017.0,2.0,Apartment,0.0,0.0,8221666
2900.0,4.0,2.0,Chowkidinghee,30.0,1995.0,3.0,Duplex,2.0,0.0,10477499
1155.0,2.0,1.0,Naliapool,3.0,2022.0,0.0,Apartment,0.0,1.0,3421002
2057.0,1.0,2.0,Naliapool,15.0,2010.0,2.0,Apartment,2.0,1.0,5614473
3079.0,1.0,3.0,Boiragimoth,7.0,2018.0,1.0,Apartment,2.0,0.0,10391646
1251.0,4.0,2.0,Khalihamari,33.0,1992.0,2.0,Duplex,2.0,1.0,3663145
1625.0,2.0,1.9917482022869268,Mancotta Road,14.0,2011.0,0.0,Independent,1.0,0.0,5771655
1617.0,1.0,3.0,Mancotta Road,15.0,2010.0,0.0,Apartment,1.0,1.0,5437220
1622.0,3.0,1.0,Khalihamari,16.0,2004.983730252299,3.0,Duplex,1.0,0.0,4903876
1797.0,2.0,3.0,Boiragimoth,24.0,2001.0,1.0,Independent,1.0,1.0,5808050
3077.0,2.497630893153281,3.0,Chowkidinghee,24.0,2001.0,3.0,Apartment,1.0,0.0,10297685
1927.626994445101,2.0,1.0,Khalihamari,29.0,1996.0,3.0,Apartment,0.0,1.0,8416627
3093.0,3.0,3.0,Chowkidinghee,32.0,2004.983730252299,2.0,Duplex,1.0,0.0,10864648
2255.0,2.497630893153281,1.0,Boiragimoth,9.0,2016.0,3.0,Independent,2.0,1.0,7786868
3012.0,4.0,2.0,Boiragimoth,19.96409590173615,1999.0,2.0,Duplex,1.0,0.0,10248342
2858.0,3.0,1.0,Naliapool,21.0,2004.0,1.0,Apartment,1.0,0.0,8024939
2772.0,3.0,3.0,Khalihamari,36.0,1989.0,1.4930276530371072,Apartment,1.0,0.0,7952790
1473.0,3.0,1.0,Milan Nagar,34.0,2004.983730252299,1.0,Independent,1.0,0.0,4200017
2458.0,3.0,2.0,Boiragimoth,35.0,1990.0,2.0,Duplex,0.0,0.0,7551313
2584.0,2.0,2.0,Boiragimoth,38.0,1987.0,0.0,Duplex,2.0,0.0,7446554
1944.0,1.0,3.0,Milan Nagar,19.96409590173615,1989.0,3.0,Duplex,0.0,0.0,5313414
883.0,1.0,2.0,Mancotta Road,13.0,2012.0,0.0,Duplex,1.0,0.0,2991229
1454.0,2.0,1.0,Milan Nagar,9.0,2004.983730252299,3.0,Independent,0.0,0.0,4604933
2076.0,3.0,2.0,Mancotta Road,36.0,1989.0,2.0,Apartment,1.0,0.0,6595606
2317.0,1.0,1.0,Mancotta Road,19.96409590173615,2000.0,1.0,Duplex,0.0,0.0,6980011
1519.0,4.0,3.0,Boiragimoth,20.0,2005.0,1.0,Duplex,1.0,0.0,5554022
877.0,4.0,3.0,Mancotta Road,0.0,2025.0,1.4930276530371072,Apartment,1.0,1.0,3678450
1927.626994445101,1.0,1.0,Mancotta Road,17.0,2008.0,0.0,Independent,0.0,0.0,6868230
2930.0,1.0,3.0,Naliapool,13.0,2012.0,1.4930276530371072,Apartment,2.0,0.0,8226639
1280.0,3.0,3.0,Chowkidinghee,31.0,1994.0,3.0,Apartment,1.0,0.0,4515252
2732.0,1.0,1.0,Naliapool,40.0,1985.0,3.0,Duplex,0.0,0.0,6231113
2050.0,4.0,1.0,Chowkidinghee,14.0,2011.0,2.0,Independent,0.0,0.0,7869244
2791.0,2.0,2.0,Milan Nagar,39.0,2004.983730252299,3.0,Independent,0.0,1.0,7601579
2474.0,3.0,2.0,Khalihamari,16.0,2009.0,1.0,Duplex,2.0,0.305407644065791,7743492
1552.0,2.497630893153281,2.0,Milan Nagar,8.0,2017.0,2.0,Duplex,1.0,0.0,5533672
792.0,2.0,2.0,Naliapool,0.0,2025.0,2.0,Apartment,,1.0,2399961
2390.0,4.0,1.0,Boiragimoth,0.0,2025.0,3.0,Apartment,2.0,0.0,9024593
969.0,4.0,1.0,Chowkidinghee,19.0,2006.0,1.0,Apartment,2.0,0.0,3665633
1712.0,2.0,1.0,Mancotta Road,34.0,1991.0,1.0,Duplex,0.0,0.0,5119027
1605.0,3.0,2.0,Chowkidinghee,26.0,1999.0,3.0,Independent,1.0,1.0,5662091
2971.0,2.0,1.0,Mancotta Road,5.0,2020.0,2.0,Apartment,0.0,0.305407644065791,10469585
2969.0,2.0,2.0,Naliapool,4.0,2021.0,1.4930276530371072,Independent,2.0,1.0,9032503
1255.0,4.0,1.0,Milan Nagar,19.96409590173615,1986.0,3.0,Independent,2.0,0.0,3654722
1901.0,2.0,1.0,Mancotta Road,8.0,2017.0,1.0,Independent,2.0,0.0,6590638
1673.0,4.0,2.0,Naliapool,1.0,2024.0,2.0,Independent,1.0,0.0,5704659
751.0,3.0,1.0,Chowkidinghee,37.0,1988.0,2.0,Apartment,1.0,0.0,2362275
2570.0,4.0,2.0,Naliapool,24.0,2001.0,1.0,Independent,0.0,1.0,7736887
1239.0,1.0,3.0,Milan Nagar,28.0,1997.0,3.0,Independent,,1.0,3562476
2058.0,1.0,1.0,Khalihamari,14.0,2004.983730252299,2.0,Independent,0.0,1.0,5741647
665.0,1.0,1.9917482022869268,Boiragimoth,34.0,1991.0,0.0,Independent,2.0,0.0,1839871
2278.0,2.497630893153281,1.0,Boiragimoth,21.0,2004.0,1.0,Independent,0.0,0.0,6672002
1750.0,3.0,2.0,Milan Nagar,20.0,2005.0,3.0,Independent,,0.0,5553798
800.0,4.0,3.0,Mancotta Road,0.0,2004.983730252299,3.0,Duplex,2.0,1.0,3362705
2773.0,3.0,3.0,Khalihamari,35.0,2004.983730252299,0.0,Duplex,2.0,0.0,8033315
1715.0,2.497630893153281,1.0,Chowkidinghee,19.96409590173615,2003.0,3.0,Apartment,1.0,0.0,5452002
1544.0,2.0,3.0,Milan Nagar,18.0,2007.0,1.0,Apartment,0.0,0.0,4921830
2898.0,1.0,1.0,Chowkidinghee,40.0,1985.0,0.0,Independent,0.0,1.0,8164750
3154.0,1.0,1.9917482022869268,Mancotta Road,36.0,1989.0,1.0,Apartment,2.0,0.0,8893180
2936.0,2.0,3.0,Milan Nagar,29.0,1996.0,3.0,Independent,1.0,0.0,8395925
1426.0,2.0,1.0,Boiragimoth,34.0,1991.0,0.0,Apartment,2.0,0.0,4091942
956.0,2.0,1.0,Naliapool,11.0,2014.0,3.0,Duplex,2.0,0.0,2620000
1849.0,2.0,3.0,Milan Nagar,6.0,2019.0,0.0,Independent,1.0,0.0,6318167
3002.0,1.0,3.0,Mancotta Road,36.0,2004.983730252299,0.0,Duplex,,0.0,8807268
2789.0,1.0,3.0,Milan Nagar,1.0,2024.0,3.0,Duplex,2.0,0.0,10447308
2742.0,4.0,2.0,Milan Nagar,11.0,2014.0,3.0,Independent,1.0,0.0,9658241
1718.0,2.0,1.0,Khalihamari,27.0,1998.0,0.0,Independent,2.0,1.0,4596529
2891.0,4.0,3.0,Chowkidinghee,19.0,2006.0,2.0,Independent,,1.0,11495157
1842.0,4.0,3.0,Mancotta Road,31.0,1994.0,3.0,Apartment,0.0,0.0,6474988
1849.0,4.0,2.0,Milan Nagar,11.0,2014.0,1.4930276530371072,Independent,1.0,0.0,6511636
2039.0,3.0,1.0,Naliapool,13.0,2012.0,3.0,Independent,1.0,0.305407644065791,5999971
2533.0,2.0,3.0,Milan Nagar,21.0,2004.0,0.0,Independent,1.0,0.0,8004734
3109.0,2.0,2.0,Boiragimoth,5.0,2020.0,1.0,Independent,0.0,0.0,10715069
2156.0,2.0,1.9917482022869268,Milan Nagar,38.0,1987.0,1.0,Duplex,2.0,1.0,5555471
2871.0,2.0,1.0,Chowkidinghee,19.0,2006.0,1.0,Independent,,0.0,9687510
2072.0,1.0,1.0,Mancotta Road,19.0,2006.0,0.0,Apartment,2.0,0.0,6481355
2221.0,3.0,2.0,Chowkidinghee,0.0,2025.0,2.0,Apartment,1.0,1.0,9082720
1098.0,2.0,1.9917482022869268,Chowkidinghee,31.0,1994.0,1.0,Independent,2.0,0.0,3551134
2341.0,3.0,1.0,Naliapool,19.96409590173615,2010.0,1.4930276530371072,Apartment,0.0,1.0,6897209
1073.0,1.0,3.0,Mancotta Road,40.0,1985.0,0.0,Apartment,2.0,0.0,3138149
1067.0,2.0,1.9917482022869268,Mancotta Road,19.96409590173615,1993.0,3.0,Duplex,0.0,1.0,3298164
1927.626994445101,1.0,3.0,Mancotta Road,35.0,1990.0,3.0,Duplex,,0.0,7998471
1671.0,2.0,3.0,Mancotta Road,19.96409590173615,1989.0,2.0,Duplex,0.0,1.0,5204088
2372.0,4.0,2.0,Khalihamari,34.0,1991.0,1.0,Duplex,2.0,1.0,6991410
986.0,2.0,3.0,Naliapool,27.0,1998.0,2.0,Duplex,2.0,0.0,2719698
1062.0,2.0,3.0,Boiragimoth,0.0,2004.983730252299,0.0,Duplex,0.0,0.0,3882080
874.0,3.0,2.0,Naliapool,2.0,2004.983730252299,0.0,Apartment,2.0,0.0,2813196
1986.0,1.0,2.0,Khalihamari,19.96409590173615,2024.0,3.0,Duplex,2.0,1.0,5960995
3047.0,4.0,2.0,Khalihamari,35.0,1990.0,2.0,Independent,2.0,0.0,8997949
1830.0,3.0,1.0,Boiragimoth,4.0,2021.0,2.0,Apartment,2.0,0.0,6429965
3028.0,3.0,1.0,Khalihamari,0.0,2025.0,1.0,Duplex,2.0,0.0,10046144
1864.0,3.0,2.0,Chowkidinghee,32.0,1993.0,2.0,Duplex,1.0,0.0,6282373
1372.0,1.0,1.0,Boiragimoth,31.0,1994.0,0.0,Duplex,0.0,0.0,3742011
2299.0,2.497630893153281,1.0,Boiragimoth,4.0,2021.0,1.0,Duplex,0.0,1.0,8556061
3089.0,1.0,1.0,Boiragimoth,8.0,2017.0,2.0,Duplex,0.0,0.305407644065791,9710553
1196.0,3.0,2.0,Milan Nagar,17.0,2008.0,2.0,Independent,2.0,0.305407644065791,4135857
856.0,3.0,3.0,Boiragimoth,10.0,2015.0,1.0,Apartment,2.0,0.0,3247154
1602.0,3.0,3.0,Mancotta Road,27.0,1998.0,2.0,Apartment,0.0,0.0,5570747
1644.0,1.0,3.0,Boiragimoth,34.0,1991.0,1.0,Independent,1.0,0.0,4669670
1132.0,1.0,3.0,Mancotta Road,11.0,2014.0,1.0,Independent,2.0,1.0,3907832
1060.0,1.0,2.0,Khalihamari,1.0,2024.0,2.0,Independent,1.0,0.0,3250000
1253.0,2.0,2.0,Boiragimoth,8.0,2017.0,0.0,Independent,1.0,0.0,4187501
2154.0,2.0,1.0,Mancotta Road,3.0,2022.0,1.0,Apartment,0.0,1.0,7542990
2055.0,2.0,1.0,Naliapool,15.0,2010.0,1.4930276530371072,Independent,2.0,0.0,5724719
1956.0,3.0,2.0,Boiragimoth,35.0,1990.0,2.0,Duplex,1.0,1.0,6031123
2195.0,2.0,1.0,Naliapool,28.0,1997.0,2.0,Apartment,2.0,0.0,5672977
1955.0,2.0,1.0,Chowkidinghee,10.0,2015.0,1.0,Duplex,1.0,0.0,6851933
2100.0,4.0,1.0,Boiragimoth,29.0,1996.0,2.0,Independent,2.0,0.0,6762842
1629.0,4.0,1.0,Khalihamari,34.0,1991.0,0.0,Apartment,2.0,0.0,4695929
829.0,2.0,2.0,Mancotta Road,4.0,2021.0,1.0,Duplex,2.0,1.0,3029548
1090.0,1.0,1.0,Naliapool,0.0,2025.0,1.0,Independent,,0.0,3081975
2425.0,1.0,2.0,Mancotta Road,5.0,2020.0,3.0,Independent,1.0,1.0,8350754
2354.0,2.0,3.0,Milan Nagar,20.0,2005.0,2.0,Duplex,1.0,0.0,7489600
2539.0,2.0,2.0,Naliapool,31.0,1994.0,1.0,Independent,1.0,1.0,6619046
2169.0,3.0,1.0,Naliapool,24.0,2001.0,1.0,Independent,2.0,0.0,5952594
736.0,1.0,3.0,Mancotta Road,6.0,2019.0,2.0,Independent,2.0,1.0,2563543
2848.0,3.0,1.0,Naliapool,7.0,2018.0,1.0,Independent,1.0,0.0,8669234
1192.0,4.0,3.0,Boiragimoth,33.0,1992.0,2.0,Independent,1.0,0.0,4046212
2684.0,3.0,2.0,Boiragimoth,0.0,2025.0,3.0,Duplex,0.0,0.0,9999936
3073.0,2.0,2.0,Milan Nagar,19.0,2006.0,3.0,Duplex,2.0,0.0,9497961
920.0,1.0,2.0,Milan Nagar,13.0,2012.0,2.0,Independent,1.0,1.0,2716688
1927.626994445101,4.0,3.0,Naliapool,26.0,1999.0,1.0,Duplex,0.0,0.0,3278510
1927.626994445101,4.0,3.0,Khalihamari,7.0,2018.0,2.0,Duplex,1.0,1.0,9613565
2394.0,2.497630893153281,3.0,Mancotta Road,8.0,2017.0,2.0,Apartment,0.0,1.0,9621798
2540.0,1.0,1.0,Milan Nagar,34.0,1991.0,1.4930276530371072,Apartment,1.0,1.0,6959013
2336.0,4.0,1.0,Boiragimoth,29.0,1996.0,2.0,Apartment,2.0,0.0,7525189
669.0,3.0,2.0,Naliapool,19.0,2006.0,1.0,Independent,0.0,0.0,1994495
1406.0,2.497630893153281,3.0,Mancotta Road,1.0,2024.0,1.0,Independent,2.0,0.0,5898218
1732.0,3.0,1.9917482022869268,Milan Nagar,32.0,1993.0,1.0,Duplex,2.0,0.0,5035601
3033.0,2.0,2.0,Naliapool,29.0,1996.0,3.0,Independent,0.0,1.0,8021618
2478.0,4.0,3.0,Khalihamari,17.0,2008.0,0.0,Duplex,2.0,0.0,8371210
709.0,4.0,3.0,Khalihamari,17.0,2008.0,0.0,Independent,2.0,0.305407644065791,2425688
2443.0,3.0,2.0,Naliapool,38.0,1987.0,2.0,Duplex,2.0,0.0,6420779
1461.0,4.0,1.0,Naliapool,31.0,1994.0,0.0,Apartment,0.0,0.0,4025603
1044.0,2.0,1.0,Boiragimoth,35.0,1990.0,1.0,Independent,1.0,0.0,3074996
1839.0,3.0,1.0,Mancotta Road,17.0,2008.0,3.0,Apartment,0.0,0.0,6391912
1827.0,4.0,3.0,Milan Nagar,6.0,2019.0,1.0,Apartment,2.0,0.0,6775130
1992.0,1.0,3.0,Mancotta Road,16.0,2009.0,3.0,Duplex,2.0,0.0,6629122
1514.0,3.0,1.0,Milan Nagar,1.0,2024.0,1.4930276530371072,Duplex,0.0,0.0,5214143
2779.0,2.497630893153281,2.0,Khalihamari,31.0,1994.0,3.0,Independent,1.0,1.0,8350623
1837.0,1.0,2.0,Milan Nagar,5.0,2020.0,0.0,Apartment,0.0,1.0,5832061
1244.0,2.0,3.0,Boiragimoth,27.0,1998.0,3.0,Apartment,1.0,0.0,3881946
728.0,4.0,2.0,Mancotta Road,12.0,2004.983730252299,2.0,Duplex,0.0,0.0,2915590
2037.0,2.0,1.0,Khalihamari,12.0,2013.0,3.0,Duplex,1.0,0.0,5997510
729.0,1.0,1.0,Mancotta Road,28.0,1997.0,3.0,Apartment,2.0,0.0,2114985
1032.0,4.0,2.0,Khalihamari,13.0,2012.0,3.0,Duplex,1.0,0.0,3436186
1837.0,1.0,1.9917482022869268,Mancotta Road,38.0,2004.983730252299,1.0,Independent,1.0,0.0,5301814
3193.0,4.0,3.0,Khalihamari,40.0,1985.0,0.0,Duplex,2.0,0.0,9408083
803.0,4.0,2.0,Boiragimoth,15.0,2010.0,3.0,Apartment,1.0,0.0,2843379
1842.0,4.0,1.0,Naliapool,37.0,1988.0,3.0,Duplex,1.0,0.0,5003373
2453.0,3.0,1.0,Boiragimoth,6.0,2019.0,0.0,Duplex,1.0,0.0,8616996
2577.0,3.0,1.0,Milan Nagar,14.0,2011.0,3.0,Independent,2.0,0.0,9447032
797.0,2.497630893153281,2.0,Mancotta Road,18.0,2007.0,0.0,Independent,2.0,0.0,2603091
2332.0,2.0,3.0,Boiragimoth,9.0,2016.0,2.0,Independent,,1.0,8143450
2126.0,2.0,3.0,Chowkidinghee,30.0,2004.983730252299,0.0,Apartment,1.0,0.0,7173080
1296.0,1.0,2.0,Boiragimoth,4.0,2021.0,2.0,Duplex,2.0,0.0,4222997
1908.0,1.0,1.0,Milan Nagar,6.0,2019.0,3.0,Independent,2.0,1.0,5782104
2468.0,3.0,1.0,Boiragimoth,37.0,1988.0,0.0,Apartment,2.0,0.305407644065791,7307403
680.0,3.0,3.0,Chowkidinghee,9.0,2016.0,0.0,Duplex,1.0,0.0,2668484
1571.0,2.0,2.0,Mancotta Road,24.0,2001.0,3.0,Apartment,1.0,0.0,5117179
2029.0,3.0,2.0,Mancotta Road,8.0,2017.0,2.0,Apartment,2.0,0.0,7651495
1045.0,3.0,1.9917482022869268,Boiragimoth,33.0,1992.0,2.0,Apartment,2.0,1.0,3412431
847.0,3.0,2.0,Mancotta Road,21.0,2004.0,2.0,Apartment,0.0,0.0,2981253
1927.626994445101,4.0,1.0,Mancotta Road,5.0,2004.983730252299,1.0,Duplex,2.0,0.0,11453951
882.0,1.0,3.0,Naliapool,22.0,2003.0,3.0,Duplex,2.0,0.0,2296621
2200.0,4.0,1.0,Milan Nagar,39.0,1986.0,3.0,Independent,0.0,0.0,6368851
1584.0,4.0,2.0,Naliapool,25.0,2000.0,3.0,Independent,2.0,0.0,4640204
2800.0,1.0,1.0,Milan Nagar,25.0,2004.983730252299,0.0,Duplex,,1.0,7711398
936.0,1.0,1.9917482022869268,Mancotta Road,0.0,2025.0,2.0,Independent,2.0,0.0,3223771
959.0,2.0,1.0,Chowkidinghee,35.0,1990.0,3.0,Duplex,1.0,1.0,2937908
2292.0,1.0,1.0,Mancotta Road,40.0,1985.0,1.0,Independent,0.0,1.0,6163277
813.0,4.0,2.0,Chowkidinghee,39.0,1986.0,1.0,Apartment,,1.0,2832949
2344.0,2.0,1.9917482022869268,Milan Nagar,21.0,2004.0,2.0,Apartment,1.0,0.0,7072007
1563.0,2.0,3.0,Boiragimoth,8.0,2017.0,0.0,Duplex,1.0,0.0,5458793
2329.0,3.0,3.0,Mancotta Road,5.0,2020.0,1.0,Apartment,1.0,0.0,9089465
2110.0,2.0,1.0,Khalihamari,11.0,2014.0,1.0,Independent,1.0,0.0,6252636
944.0,2.0,1.0,Milan Nagar,39.0,1986.0,0.0,Independent,0.0,0.0,2702747
2027.0,2.497630893153281,1.0,Mancotta Road,25.0,2000.0,3.0,Independent,1.0,0.0,6055361
2383.0,4.0,3.0,Chowkidinghee,31.0,1994.0,1.0,Independent,2.0,0.0,8796351
1055.0,4.0,1.0,Mancotta Road,40.0,1985.0,3.0,Apartment,1.0,1.0,3331847
1625.0,3.0,3.0,Chowkidinghee,27.0,1998.0,3.0,Apartment,1.0,1.0,5845579
1758.0,1.0,3.0,Naliapool,19.96409590173615,2004.983730252299,2.0,Independent,2.0,1.0,5071033
1607.0,2.0,2.0,Chowkidinghee,19.0,2006.0,2.0,Apartment,1.0,1.0,5606715
1927.626994445101,1.0,2.0,Boiragimoth,35.0,1990.0,1.0,Independent,1.0,1.0,5340509
2568.0,1.0,1.0,Boiragimoth,34.0,1991.0,1.0,Apartment,1.0,0.0,6949435
1854.0,4.0,3.0,Milan Nagar,29.0,1996.0,3.0,Apartment,2.0,0.0,6109323
